date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:40	13820/13820	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:40%20GMT	https://www.bawanaplast.com/index.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/index.html	(from )
20:49:41	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2022:06:44%20GMT	https://www.bawanaplast.com/robots.txt		(from )
20:49:42	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jun%202022%2015:19:42%20GMT	http://www.bawanaplast.com/	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/index-2.html	(from https://www.bawanaplast.com/index.php)
20:49:42	603/603	---M--	200	added ('OK')	image/png	date:Wed,%2030%20Aug%202017%2007:36:31%20GMT	https://www.bawanaplast.com/img/favicon.png	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/favicon.png	(from https://www.bawanaplast.com/index.php)
20:49:43	121200/121200	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202017%2010:25:35%20GMT	https://www.bawanaplast.com/css/bootstrap.min.css	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/css/bootstrap.min.css	(from https://www.bawanaplast.com/index.php)
20:49:44	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202017%2010:25:34%20GMT	https://www.bawanaplast.com/css/font-awesome.min.css	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/css/font-awesome.min.css	(from https://www.bawanaplast.com/index.php)
20:49:44	14605/14605	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202017%2010:25:36%20GMT	https://www.bawanaplast.com/css/style.css	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/css/style.css	(from https://www.bawanaplast.com/index.php)
20:49:44	2823/2823	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Aug%202017%2010:25:35%20GMT	https://www.bawanaplast.com/css/nebula.css	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/css/nebula.css	(from https://www.bawanaplast.com/index.php)
20:49:45	27507/27507	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Aug%202017%2008:50:44%20GMT	https://www.bawanaplast.com/img/logo.png	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/logo.png	(from https://www.bawanaplast.com/index.php)
20:49:45	8955/8955	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:45%20GMT	https://www.bawanaplast.com/aboutus.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/aboutus.html	(from https://www.bawanaplast.com/index.php)
20:49:45	17908/17908	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:45%20GMT	https://www.bawanaplast.com/fruit.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fruit.html	(from https://www.bawanaplast.com/index.php)
20:49:45	15090/15090	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:45%20GMT	https://www.bawanaplast.com/ind.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/ind.html	(from https://www.bawanaplast.com/index.php)
20:49:46	11316/11316	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:46%20GMT	https://www.bawanaplast.com/milk.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/milk.html	(from https://www.bawanaplast.com/index.php)
20:49:46	9831/9831	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:46%20GMT	https://www.bawanaplast.com/bakery.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/bakery.html	(from https://www.bawanaplast.com/index.php)
20:49:46	9874/9874	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:46%20GMT	https://www.bawanaplast.com/enquiry.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/enquiry.html	(from https://www.bawanaplast.com/index.php)
20:49:47	10401/10401	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Jun%202022%2015:19:47%20GMT	https://www.bawanaplast.com/contactus.php	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/contactus.html	(from https://www.bawanaplast.com/index.php)
20:49:49	284118/284118	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2008:26:39%20GMT	https://www.bawanaplast.com/img/slider1.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/slider1.jpg	(from https://www.bawanaplast.com/index.php)
20:49:49	323470/323470	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2008:29:44%20GMT	https://www.bawanaplast.com/img/slider2.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/slider2.jpg	(from https://www.bawanaplast.com/index.php)
20:49:49	27808/27808	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Aug%202017%2010:05:31%20GMT	https://www.bawanaplast.com/img/red.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/red.jpg	(from https://www.bawanaplast.com/index.php)
20:49:50	24952/24952	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Aug%202017%2010:05:33%20GMT	https://www.bawanaplast.com/img/blue.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/blue.jpg	(from https://www.bawanaplast.com/index.php)
20:49:50	23016/23016	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Aug%202017%2010:05:34%20GMT	https://www.bawanaplast.com/img/green.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/green.jpg	(from https://www.bawanaplast.com/index.php)
20:49:50	234939/234939	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2010:12:23%20GMT	https://www.bawanaplast.com/img/slider3.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/slider3.jpg	(from https://www.bawanaplast.com/index.php)
20:49:50	105780/105780	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2008:57:12%20GMT	https://www.bawanaplast.com/img/about2.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/about2.jpg	(from https://www.bawanaplast.com/index.php)
20:49:51	67097/67097	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Aug%202017%2010:05:32%20GMT	https://www.bawanaplast.com/img/cat1.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/cat1.jpg	(from https://www.bawanaplast.com/index.php)
20:49:51	101218/101218	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2006:38:42%20GMT	https://www.bawanaplast.com/img/cat2.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/cat2.jpg	(from https://www.bawanaplast.com/index.php)
20:49:51	95303/95303	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2006:38:43%20GMT	https://www.bawanaplast.com/img/cat3.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/cat3.jpg	(from https://www.bawanaplast.com/index.php)
20:49:52	102963/102963	---M--	200	added ('OK')	image/jpeg	date:Wed,%2030%20Aug%202017%2006:38:41%20GMT	https://www.bawanaplast.com/img/cat4.jpg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/img/cat4.jpg	(from https://www.bawanaplast.com/index.php)
20:49:53	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.bawanaplast.com/index.php)
20:49:55	37045/37045	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Aug%202017%2007:13:30%20GMT	https://www.bawanaplast.com/js/bootstrap.min.js	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/js/bootstrap.min.js	(from https://www.bawanaplast.com/index.php)
20:49:55	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2007%20Jun%202022%2015:19:54%20GMT	http://www.bawanaplast.com/robots.txt		(from https://www.bawanaplast.com/index.php)
20:49:55	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Aug%202017%2007:13:40%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.eot	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regular.eot	(from https://www.bawanaplast.com/css/bootstrap.min.css)
20:49:55	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2026%20Aug%202017%2007:13:40%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.eot?	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.bawanaplast.com/css/bootstrap.min.css)
20:49:55	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sat,%2026%20Aug%202017%2007:13:43%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.woff2	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regular.woff2	(from https://www.bawanaplast.com/css/bootstrap.min.css)
20:49:56	23424/23424	---M--	200	added ('OK')	font/woff	date:Sat,%2026%20Aug%202017%2007:13:43%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.woff	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regular.woff	(from https://www.bawanaplast.com/css/bootstrap.min.css)
20:49:56	45404/45404	---M--	200	added ('OK')	font/ttf	date:Sat,%2026%20Aug%202017%2007:13:41%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.ttf	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regular.ttf	(from https://www.bawanaplast.com/css/bootstrap.min.css)
20:49:58	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2026%20Aug%202017%2007:13:41%20GMT	https://www.bawanaplast.com/fonts/glyphicons-halflings-regular.svg	C:/Users/bagak/OneDrive/Desktop/Small%20industrial%20website/www.bawanaplast.com/fonts/glyphicons-halflings-regular.svg	(from https://www.bawanaplast.com/css/bootstrap.min.css)
